"","Area","Year","Decade","Avg_Emissions"
"1","Afghanistan",1990,"1990-2000",2198.96353899658
"2","Afghanistan",1991,"1990-2000",2323.87662913165
"3","Afghanistan",1992,"1990-2000",2356.30422913165
"4","Afghanistan",1993,"1990-2000",2368.47052913165
"5","Afghanistan",1994,"1990-2000",2500.76872913165
"6","Afghanistan",1995,"1990-2000",2624.61252913165
"7","Afghanistan",1996,"1990-2000",2838.92132913165
"8","Afghanistan",1997,"1990-2000",3204.18011482975
"9","Afghanistan",1998,"1990-2000",3560.71666120256
"10","Afghanistan",1999,"1990-2000",3694.80653299675
"11","Afghanistan",2000,"1990-2000",3113.52841482975
"12","Afghanistan",2001,"2000-2010",5038.53396752271
"13","Afghanistan",2002,"2000-2010",6035.81646752271
"14","Afghanistan",2003,"2000-2010",6449.08923089425
"15","Afghanistan",2004,"2000-2010",6734.99823089424
"16","Afghanistan",2005,"2000-2010",7001.29752730812
"17","Afghanistan",2006,"2000-2010",7076.18194695906
"18","Afghanistan",2007,"2000-2010",7281.05338069308
"19","Afghanistan",2008,"2000-2010",8069.08633047617
"20","Afghanistan",2009,"2000-2010",8735.04244656368
"21","Afghanistan",2010,"2000-2010",9871.63866628562
"22","Afghanistan",2011,"2010-2020",10925.5343157868
"23","Afghanistan",2012,"2010-2020",11280.2765109356
"24","Afghanistan",2013,"2010-2020",11694.0041951535
"25","Afghanistan",2014,"2010-2020",12128.6982840044
"26","Afghanistan",2015,"2010-2020",12652.8761105804
"27","Afghanistan",2016,"2010-2020",12988.3843797553
"28","Afghanistan",2017,"2010-2020",12786.218761862
"29","Afghanistan",2018,"2010-2020",13054.9826487538
"30","Afghanistan",2019,"2010-2020",13354.3604731142
"31","Afghanistan",2020,"2010-2020",14032.420621091
"32","Argentina",1990,"1990-2000",114303.061593007
"33","Argentina",1991,"1990-2000",112979.755892778
"34","Argentina",1992,"1990-2000",114888.847106464
"35","Argentina",1993,"1990-2000",115580.587991162
"36","Argentina",1994,"1990-2000",118040.630691162
"37","Argentina",1995,"1990-2000",118054.996
"38","Argentina",1996,"1990-2000",122095.3724
"39","Argentina",1997,"1990-2000",125174.1633
"40","Argentina",1998,"1990-2000",122066.7766
"41","Argentina",1999,"1990-2000",126886.4549
"42","Argentina",2000,"1990-2000",125662.4164
"43","Argentina",2001,"2000-2010",172527.31
"44","Argentina",2002,"2000-2010",171618.691
"45","Argentina",2003,"2000-2010",179134.7615
"46","Argentina",2004,"2000-2010",183958.8922
"47","Argentina",2005,"2000-2010",189627.2057
"48","Argentina",2006,"2000-2010",189543.2299
"49","Argentina",2007,"2000-2010",190967.4029
"50","Argentina",2008,"2000-2010",197788.7747
"51","Argentina",2009,"2000-2010",192204.974
"52","Argentina",2010,"2000-2010",193255.5104
"53","Argentina",2011,"2010-2020",165708.5226
"54","Argentina",2012,"2010-2020",167098.0612
"55","Argentina",2013,"2010-2020",176535.5722
"56","Argentina",2014,"2010-2020",176161.2466
"57","Argentina",2015,"2010-2020",179831.1284
"58","Argentina",2016,"2010-2020",145331.541
"59","Argentina",2017,"2010-2020",150735.5518
"60","Argentina",2018,"2010-2020",145282.356
"61","Argentina",2019,"2010-2020",144755.7755
"62","Argentina",2020,"2010-2020",148030.6914
"63","Australia",1990,"1990-2000",210940.8652
"64","Australia",1991,"1990-2000",209420.6717
"65","Australia",1992,"1990-2000",208693.2066
"66","Australia",1993,"1990-2000",208526.1977
"67","Australia",1994,"1990-2000",208232.1838
"68","Australia",1995,"1990-2000",209054.4778
"69","Australia",1996,"1990-2000",201427.3248
"70","Australia",1997,"1990-2000",204517.4045
"71","Australia",1998,"1990-2000",213016.8407
"72","Australia",1999,"1990-2000",248501.239
"73","Australia",2000,"1990-2000",259432.6136
"74","Australia",2001,"2000-2010",257091.9257
"75","Australia",2002,"2000-2010",248105.8547
"76","Australia",2003,"2000-2010",179743.4494
"77","Australia",2004,"2000-2010",215556.5899
"78","Australia",2005,"2000-2010",175090.2957
"79","Australia",2006,"2000-2010",221229.297
